"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","972","9. Dynamic Loading - Wait for element","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1000","1. Login and save state","firefox","2026-03-16","passed","2026-03-16","Authentication Management","auth.spec.js","",""
"","1","contact page submit","chromium","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","855","Search test for JavaScript","chromium","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","214","Soft Assertions","chromium","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","892","Search test for Python","chromium","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","475","Test 1 running in parallel","chromium","2026-03-16","passed","2026-03-16","Parallel Execution and Fixtures","parallel-fixtures.spec.js","",""
"","30324","5. Wait for specific API response","chromium","2026-03-16","broken","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","595","Test 2 running in parallel","firefox","2026-03-16","passed","2026-03-16","Parallel Execution and Fixtures","parallel-fixtures.spec.js","",""
"","248","Using test.step for reporting","firefox","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","644","1. Successful Submission","webkit","2026-03-16","failed","2026-03-16","Pet Shop Contact Form Tests","contact.spec.js","",""
"","0","contact page submit","firefox","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","800","7. Select from Dropdown","firefox","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","30316","4. Intercept & Mock Network Request","chromium","2026-03-16","broken","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
"","391","Slow test with custom timeout","chromium","2026-03-16","passed","2026-03-16","Annotations and Timeouts","annotations-timeouts.spec.js","",""
"","285","Soft Assertions","firefox","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1160","9. Dynamic Loading - Wait for element","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","1038","6. Drag and Drop","webkit","2026-03-16","passed","2026-03-16","Intermediate UI Components & Alerts","ui-interactions.spec.js","",""
"","0","has title","chromium","2026-03-16","skipped","2026-03-16","","example.spec.js","",""
"","695","2. Verify secure area without logging in again","firefox","2026-03-16","passed","2026-03-16","Authentication Management > Tests that require login","auth.spec.js","",""
"","2064","Polling Assertions","firefox","2026-03-16","passed","2026-03-16","Parameterization and Advanced Assertions","param-assertions.spec.js","",""
"","1597","7. Multiple Windows/Tabs","webkit","2026-03-16","passed","2026-03-16","Auth, Network & Advanced Concepts","auth-network.spec.js","",""
